datetime,ZEMAH,MEROM GOLAN PICMAN,TAVOR KADOORIE,JERUSALEM GIVAT RAM,GILGAL,YOTVATA,HAIFA TECHNION,BESOR FARM,BEER SHEVA UNI,ELAT,EN HASHOFET,DOROT,NEGBA,BET DAGAN RAD,ZOVA,EDEN FARM,GAMLA,TEL YOSEF,ASHALIM
2025-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00,0.67,1.83,1.0,1.67,1.0,2.33,0.67,1.5,,1.67,1.0,1.17,1.33,1.5,0.67,1.5,1.17,0.83,1.33
2025-01-01 07:00,54.67,145.83,40.5,90.33,55.17,67.5,49.5,68.83,,99.17,72.33,84.0,77.17,63.0,68.0,68.83,77.5,47.33,58.5
2025-01-01 08:00,204.83,262.83,176.83,274.17,89.5,280.33,224.17,242.17,271.33,290.0,216.0,259.5,257.17,249.33,266.33,230.17,243.33,179.17,260.83
2025-01-01 09:00,352.0,427.67,374.5,444.0,259.17,452.67,389.83,412.0,438.5,472.83,394.83,427.0,437.83,412.33,426.83,382.5,399.17,390.83,448.17
