date,peak_hour,peak_mw,capacity_mw,reserve_mw,reserve_pct,peak_prom_mw,renewables_mw,storage_mw,demand_response,peak_spike,event,explained,temp_station,temp_kind,temp_c,temp_rank,note
2022-01-01,18:28,10272.0,13337.0,3065.0,29.84,,13.0,243.0,False,False,,False,,,,,
2022-01-02,19:34,11077.0,13816.0,2738.0,24.72,805.0,18.0,243.0,False,False,,False,,,,,
2022-01-03,18:43,11220.0,14180.0,2960.0,26.38,948.0,13.0,250.0,False,False,,False,,,,,
2022-01-04,18:53,11488.0,13324.0,1835.0,15.97,1216.0,111.0,267.0,False,False,,False,,,,,
2022-01-05,18:54,11394.0,14082.0,2688.0,23.59,1122.0,115.0,176.0,False,False,,False,,,,,
2022-01-06,19:07,10643.0,13999.0,3355.0,31.52,371.0,120.0,303.0,False,False,,False,,,,,
2022-01-07,18:03,9403.0,12867.0,3463.0,36.83,-869.0,11.0,302.0,False,False,,False,,,,,
2022-01-08,19:29,9622.0,13898.0,4276.0,44.44,-1263.0,116.0,212.0,False,False,,False,,,,,
2022-01-09,19:05,10885.0,13256.0,2371.0,21.78,-302.0,25.0,233.0,False,False,,False,,,,,
2022-01-10,19:08,11256.0,13206.0,1950.0,17.32,69.0,122.0,130.0,False,False,,False,,,,,
2022-01-11,19:26,11297.0,14169.0,2872.0,25.42,110.0,120.0,227.0,False,False,,False,,,,,
2022-01-12,19:08,11187.0,13592.0,2404.0,21.49,-34.0,13.0,251.0,False,False,,False,,,,,
2022-01-13,18:58,11221.0,13917.0,2696.0,24.03,-39.0,18.0,254.0,False,False,,False,,,,,
2022-01-14,16:43,11260.0,14907.0,3647.0,32.39,-710.0,442.0,168.0,False,False,,False,,,,,
2022-01-15,18:32,11970.0,14149.0,2179.0,18.2,-195.0,15.0,254.0,False,False,,False,,,,,
2022-01-16,18:23,13370.0,14226.0,856.0,6.4,1205.0,19.0,277.0,False,False,tight reserve,True,JERUSALEM CENTRE,min,3.1,0.0376,"tight reserve — Jerusalem Centre 3.1 °C, colder than 96% of winter days"
2022-01-17,19:00,14038.0,15064.0,1146.0,8.16,1873.0,15.0,250.0,True,False,"demand response, tight reserve",True,BET DAGAN,min,2.0,0.0029,"demand response, tight reserve — Bet Dagan 2.0 °C, colder than 100% of winter days"
2022-01-18,19:18,13839.0,15241.0,1403.0,10.14,1674.0,169.0,229.0,False,False,,False,,,,,
2022-01-19,18:34,14737.0,15378.0,771.0,5.23,2572.0,103.0,247.0,True,False,"demand response, tight reserve",True,JERUSALEM CENTRE,min,1.0,0.0087,"demand response, tight reserve — Jerusalem Centre 1.0 °C, colder than 99% of winter days"
2022-01-20,18:39,14012.0,15335.0,1453.0,10.37,1847.0,90.0,214.0,True,False,demand response,True,JERUSALEM CENTRE,min,0.4,0.0043,"demand response — Jerusalem Centre 0.4 °C, colder than 100% of winter days"
2022-01-21,18:07,12165.0,15208.0,3043.0,25.01,-139.0,119.0,238.0,False,False,,False,,,,,
2022-01-22,19:18,12304.0,14883.0,2579.0,20.96,-507.0,121.0,257.0,False,False,,False,,,,,
2022-01-23,18:29,14142.0,15273.0,1331.0,9.41,1331.0,244.0,118.0,True,False,"demand response, tight reserve",True,JERUSALEM CENTRE,min,4.7,0.0883,"demand response, tight reserve — Jerusalem Centre 4.7 °C, colder than 91% of winter days"
2022-01-24,18:46,14253.0,15310.0,1177.0,8.26,1442.0,122.0,231.0,True,False,"demand response, tight reserve",True,JERUSALEM CENTRE,min,3.1,0.0376,"demand response, tight reserve — Jerusalem Centre 3.1 °C, colder than 96% of winter days"
2022-01-25,19:11,13766.0,15533.0,1767.0,12.84,955.0,166.0,285.0,False,False,,False,,,,,
2022-01-26,18:19,14802.0,15678.0,996.0,6.73,2637.0,131.0,232.0,True,False,"demand response, tight reserve",True,JERUSALEM CENTRE,min,-0.2,0.0014,"demand response, tight reserve — Jerusalem Centre -0.2 °C, colder than 100% of winter days"
2022-01-27,18:51,14205.0,15539.0,1454.0,10.24,2040.0,72.0,214.0,True,False,demand response,True,JERUSALEM CENTRE,min,-0.6,0.0,"demand response — Jerusalem Centre -0.6 °C, colder than 100% of winter days"
2022-01-28,16:22,13486.0,16074.0,2707.0,20.07,1321.0,469.0,255.0,True,False,demand response,True,JERUSALEM CENTRE,min,2.8,0.0304,"demand response — Jerusalem Centre 2.8 °C, colder than 97% of winter days"
2022-01-29,19:20,12811.0,15655.0,2964.0,23.14,507.0,113.0,227.0,True,False,demand response,True,JERUSALEM CENTRE,min,3.1,0.0376,"demand response — Jerusalem Centre 3.1 °C, colder than 96% of winter days"
2022-01-30,19:34,13201.0,15544.0,2343.0,17.75,390.0,122.0,279.0,False,False,,False,,,,,
2022-01-31,19:22,13436.0,16001.0,2565.0,19.09,625.0,11.0,245.0,False,False,,False,,,,,
2022-02-01,19:18,13102.0,15994.0,2893.0,22.08,291.0,114.0,250.0,False,False,,False,,,,,
2022-02-02,19:26,12149.0,14962.0,2813.0,23.15,-662.0,76.0,210.0,False,False,,False,,,,,
2022-02-03,19:17,11614.0,14405.0,2791.0,24.03,-535.0,138.0,171.0,False,False,,False,,,,,
2022-02-04,17:58,11697.0,14820.0,3123.0,26.7,83.0,124.0,243.0,False,False,,False,,,,,
2022-02-05,19:11,11835.0,14810.0,2975.0,25.14,221.0,36.0,271.0,False,False,,False,,,,,
2022-02-06,19:18,12512.0,14653.0,2141.0,17.11,898.0,155.0,206.0,False,False,,False,,,,,
2022-02-07,19:24,11781.0,14649.0,2867.0,24.34,167.0,113.0,0.0,False,False,,False,,,,,
2022-02-08,19:47,11162.0,14776.0,3614.0,32.38,-452.0,121.0,89.0,False,False,,False,,,,,
2022-02-09,19:18,12201.0,15484.0,3283.0,26.91,1039.0,229.0,137.0,False,False,,False,,,,,
2022-02-10,18:49,12769.0,15192.0,2423.0,18.98,1607.0,40.0,272.0,False,False,,False,,,,,
2022-02-11,18:19,10910.0,14459.0,3549.0,32.53,-252.0,47.0,221.0,False,False,,False,,,,,
2022-02-12,20:02,10788.0,13610.0,2822.0,26.16,-122.0,118.0,264.0,False,False,,False,,,,,
2022-02-13,19:39,11280.0,13979.0,2700.0,23.94,492.0,128.0,247.0,False,False,,False,,,,,
2022-02-14,19:24,11415.0,14341.0,2926.0,25.63,627.0,113.0,242.0,False,False,,False,,,,,
2022-02-15,19:22,11196.0,14086.0,2890.0,25.81,408.0,33.0,225.0,False,False,,False,,,,,
2022-02-16,19:33,11084.0,14089.0,3006.0,27.12,296.0,138.0,212.0,False,False,,False,,,,,
2022-02-17,18:54,11103.0,14328.0,3224.0,29.04,315.0,13.0,221.0,False,False,,False,,,,,
2022-02-18,18:13,9813.0,14061.0,4247.0,43.28,-975.0,27.0,254.0,False,False,,False,,,,,
2022-02-19,19:13,10715.0,14121.0,3406.0,31.79,902.0,20.0,250.0,False,False,,False,,,,,
2022-02-20,19:29,11149.0,14634.0,3485.0,31.26,1336.0,77.0,245.0,False,False,,False,,,,,
2022-02-21,19:23,10770.0,14714.0,3944.0,36.62,957.0,157.0,235.0,False,False,,False,,,,,
2022-02-22,19:23,10348.0,14160.0,3812.0,36.84,535.0,119.0,170.0,False,False,,False,,,,,
2022-02-23,19:26,9444.0,13748.0,4304.0,45.57,-369.0,207.0,0.0,False,False,,False,,,,,
2022-02-24,18:54,10260.0,13897.0,3637.0,35.45,584.0,88.0,237.0,False,False,,False,,,,,
2022-02-25,14:04,10682.0,15416.0,4734.0,44.32,1029.0,1624.0,0.0,False,False,,False,,,,,
2022-02-26,19:27,10547.0,13738.0,3191.0,30.26,894.0,43.0,228.0,False,False,,False,,,,,
