summer,AVNE ETAN,BET ZAYDA,ZEMAH,MEROM GOLAN PICMAN,YAVNEEL,TAVOR KADOORIE,AFULA NIR HAEMEQ,QARNE SHOMERON,ARIEL,JERUSALEM GIVAT RAM,JERUSALEM CENTRE,SHANI,ARAD,GILGAL,HAZEVA,YOTVATA,HAIFA REFINERIES,BESOR FARM,BEER SHEVA_20250506,ZEFAT HAR KENAAN,ELAT,SEDOM,EN HASHOFET,ELON,BEIT JIMAL,ROSH ZURIM,AFEQ,SEDE BOQER,DEIR HANNA,ROSH HANIQRA,EN HAHORESH,ZOMET HANEGEV,LEV KINERET,HAFEZ HAYYIM,AMMIAD,ASHDOD PORT,TEL AVIV COAST,NEWE YAAR,ZOVA,KEFAR BLUM,ESHHAR,EDEN FARM,PARAN,ASHQELON PORT,METZOKE DRAGOT,EN GEDI_20231213,MAALE ADUMMIM,MAALE GILBOA,GAMLA,BET HAARAVA,NEOT SMADAR,KEFAR NAHUM,GAT,KEFAR GILADI,NAHSHON,GALED,MERHAVYA 20170702,HARASHIM,SHAARE TIQWA 20161205,AVDAT,DAFNA 20191106,NEVATIM,LAHAV,AYYELET HASHAHAR,MASSADA,SEDE ELIYYAHU,HAR HARASHA,NETIV HALAMED HE,HAIFA UNIVERSITY,HAIFA TECHNION,EN KARMEL,ZIKHRON YAAQOV,HADERA PORT,BET DAGAN,QEVUZAT YAVNE,DOROT,NEGBA,ITAMAR,NIZZAN,EZUZ,TEL YOSEF,SHAVE ZIYYON,ASHALIM,MIZPE RAMON,DAFNA,BEER SHEVA BGU,NAZARETH,TIBERIAS
2015-2016,43.8,45.9,44.9,40.3,46.5,44.3,42.1,40.9,38.5,41.3,40.8,41.9,42.0,49.3,46.0,45.9,43.7,44.3,43.2,39.3,46.0,46.0,40.0,40.3,41.9,38.4,42.6,41.4,42.1,41.8,41.6,42.3,41.7,43.6,44.9,39.4,40.8,41.6,41.1,44.3,40.6,46.3,44.9,39.7,44.5,46.4,43.7,42.5,44.2,48.7,42.9,47.0,43.8,43.0,43.5,42.0,42.7,38.2,41.6,40.2,45.2,43.3,41.4,45.9,47.0,46.6,39.9,41.9,36.8,39.3,41.1,39.4,39.0,42.3,43.6,44.2,44.1,40.6,42.7,42.9,41.3,29.5,,,,,,
2016-2017,40.7,43.5,43.7,36.3,43.2,42.1,41.4,40.5,38.7,38.0,37.8,40.0,40.6,46.1,46.4,46.2,41.1,42.5,43.3,36.4,46.1,45.5,39.6,39.9,42.3,35.5,40.1,41.4,40.4,39.7,40.8,42.2,41.7,43.6,41.7,35.7,37.8,40.9,37.5,41.3,39.3,44.2,46.6,37.2,40.8,44.5,40.3,40.7,40.1,45.9,44.4,43.0,42.4,39.0,42.6,41.2,42.6,35.0,41.0,42.3,41.5,43.7,41.3,41.7,44.8,44.4,37.6,42.7,35.8,37.2,39.5,39.0,36.5,40.6,42.2,42.8,41.8,37.6,40.5,43.8,31.7,39.1,38.5,,,,,
2017-2018,38.6,41.9,43.1,38.4,41.7,40.1,40.3,39.3,36.5,36.7,36.8,38.8,40.0,46.8,47.1,45.0,39.4,40.3,42.0,37.2,45.4,46.2,38.3,37.8,39.8,34.8,39.2,40.1,38.3,39.3,40.7,41.7,39.9,39.7,42.0,31.7,33.0,40.3,38.0,41.0,36.7,43.3,44.5,31.0,42.0,43.6,40.8,38.6,39.3,45.0,42.8,43.4,41.8,39.1,40.4,39.1,40.1,34.6,,40.1,40.2,42.5,41.0,42.5,44.0,43.8,36.8,40.8,34.3,36.5,38.8,38.7,37.2,38.3,37.1,40.2,38.2,36.8,37.1,41.5,41.5,38.3,42.5,39.7,,,,
2018-2019,39.6,43.1,43.1,35.2,42.4,41.6,41.9,40.8,38.1,36.9,37.0,39.0,40.3,46.2,47.2,45.3,41.6,44.0,43.2,35.7,44.5,47.9,39.5,38.3,41.9,35.5,40.3,40.9,30.1,40.9,41.5,42.0,39.4,43.4,40.7,38.5,41.5,41.6,38.1,41.8,38.2,44.3,45.9,35.9,42.7,43.7,39.4,39.7,39.3,46.1,43.3,43.4,43.5,40.5,42.5,40.8,,34.9,,40.7,41.6,43.1,41.5,41.1,43.6,44.1,37.9,42.2,36.8,38.4,39.4,39.2,39.2,41.7,42.2,43.1,43.2,37.0,42.4,43.2,43.3,39.6,42.8,39.3,25.7,,,
2019-2020,41.0,42.2,42.3,35.7,44.0,42.2,43.2,42.2,39.0,37.9,38.6,41.3,41.4,47.7,48.5,44.8,43.1,44.7,44.3,37.0,44.8,49.9,41.1,40.4,42.1,37.0,42.4,42.2,21.8,39.8,41.7,43.6,37.5,44.1,41.7,35.8,39.4,42.8,39.2,42.6,40.1,44.5,47.1,42.3,44.3,48.0,41.3,41.3,40.7,47.4,43.9,44.2,44.5,40.3,44.6,40.9,,35.5,,42.0,41.7,43.5,43.0,43.2,45.0,45.0,39.1,43.5,39.3,40.5,41.2,39.3,39.0,43.5,43.8,45.0,44.1,38.6,45.1,44.3,44.7,41.7,44.2,40.0,41.9,,,
2020-2021,44.3,45.2,44.7,40.5,46.9,44.9,42.8,41.0,41.7,41.2,42.7,42.9,43.2,47.9,45.8,47.7,41.6,42.5,44.0,40.6,48.9,44.5,40.5,39.5,41.5,39.4,41.0,43.2,43.5,41.7,42.6,44.8,42.7,43.3,46.7,32.1,41.3,43.0,42.5,47.0,40.0,45.9,44.4,33.5,44.5,47.6,43.9,42.8,44.2,47.0,44.3,46.5,42.8,45.2,42.2,41.8,,39.5,,43.3,,46.0,42.9,46.6,45.3,45.7,40.8,42.6,40.0,39.1,40.3,41.3,39.2,42.7,43.3,43.0,42.4,40.7,43.5,44.2,44.5,39.8,41.8,41.1,46.8,,,
2021-2022,37.8,41.3,42.4,35.6,40.5,40.0,40.2,38.9,37.3,36.2,36.2,38.4,39.0,45.6,45.7,44.6,40.4,42.7,41.9,34.5,45.5,46.9,36.9,38.1,40.6,34.5,39.5,40.0,38.8,40.4,40.4,40.5,36.9,42.5,40.3,34.0,34.7,39.6,37.0,41.1,37.4,42.4,44.7,39.7,42.1,44.9,39.2,38.0,38.2,44.6,43.0,42.9,42.3,38.7,42.3,38.5,,34.5,,39.7,,40.9,41.0,41.2,42.7,42.4,36.7,41.5,34.5,37.8,39.1,38.5,35.5,41.5,41.5,42.9,42.7,35.8,42.0,42.3,41.0,38.5,41.7,38.5,40.7,,,
2022-2023,41.3,42.4,42.2,37.8,43.7,41.3,40.0,37.9,39.5,38.5,40.2,39.7,40.5,45.5,43.0,42.3,37.2,39.2,40.4,37.0,45.7,43.8,25.4,35.9,38.6,37.2,37.2,38.8,38.8,36.9,38.4,39.6,39.3,38.6,42.5,31.4,34.4,39.0,38.9,43.0,37.3,44.0,41.9,34.4,40.2,43.0,41.0,38.9,41.5,45.5,40.9,41.8,38.6,42.0,41.1,39.0,,37.6,,39.3,,40.3,39.4,40.4,44.1,44.8,36.5,39.5,31.7,34.5,36.5,36.2,35.3,36.7,37.4,39.5,36.9,39.0,37.1,40.6,42.0,36.7,40.0,39.1,43.5,35.5,,
2023-2024,41.0,42.2,43.0,40.9,43.0,41.9,41.9,40.3,38.4,41.4,41.7,40.3,40.8,47.0,45.1,45.3,42.1,43.8,,39.3,46.1,46.9,39.8,39.8,42.0,36.8,42.2,41.0,39.5,40.8,42.7,41.7,39.1,43.2,41.6,38.6,41.3,42.5,40.9,43.0,38.0,43.7,45.3,41.0,42.8,45.5,41.0,39.8,20.8,45.4,43.5,44.7,43.9,45.1,43.1,40.8,,39.3,,40.2,,41.6,42.4,41.3,44.0,45.0,39.5,43.5,37.5,39.8,41.8,40.7,38.7,43.8,43.1,43.9,43.7,40.8,43.8,43.3,43.5,40.7,42.3,38.6,45.0,43.5,,
2024-2025,42.5,44.5,44.4,38.0,45.0,42.8,41.5,39.1,37.4,39.0,38.6,40.2,41.3,48.0,46.0,47.1,40.5,42.2,,38.3,45.3,46.2,39.5,38.0,39.8,35.9,37.6,40.3,42.0,41.0,41.5,40.7,41.2,42.0,44.3,38.2,40.8,42.3,39.0,43.7,38.2,45.0,46.0,21.8,22.9,,41.5,40.9,42.5,45.0,44.6,46.7,41.6,39.6,41.6,39.6,,38.3,,40.2,,41.5,41.4,44.1,45.2,46.3,38.9,42.5,35.7,38.0,40.3,39.0,38.8,41.7,42.4,42.0,41.8,39.4,43.0,41.8,42.8,40.1,41.2,41.0,43.6,42.2,38.7,41.8
2025-2026,41.9,44.7,45.2,40.6,45.8,43.7,43.3,40.6,39.3,40.1,41.3,41.2,43.8,49.7,46.0,47.2,43.5,42.5,,41.4,48.8,47.4,41.0,42.7,41.3,38.3,42.4,40.5,41.2,39.1,41.1,41.6,42.4,42.3,45.6,36.2,38.8,43.5,40.8,46.8,40.3,45.6,45.4,38.5,45.8,,44.0,40.8,39.9,46.4,44.0,44.6,42.2,44.0,43.2,41.2,,41.1,,40.6,,41.9,41.8,46.8,46.7,46.6,40.1,43.5,37.7,40.2,40.7,39.3,35.6,41.5,40.3,42.4,41.9,41.1,40.4,42.4,44.1,41.6,42.9,41.6,46.0,42.9,39.8,45.4
