date,station,sst
2026-08-14,Ashdod_IL,29.77
2026-08-14,Ashkelon_IL,29.63
2026-08-14,Bardawil_off,29.97
2026-08-14,Damietta_mouth,29.5
2026-08-14,El_Arish_EG,30.28
2026-08-14,Gaza_City,29.64
2026-08-14,Hadera_IL,29.52
2026-08-14,Haifa_IL,29.3
2026-08-14,Nahariya_IL,29.41
2026-08-14,Open_sea_ref,28.77
2026-08-14,Port_Said_EG,30.0
2026-08-14,Rafah_Gaza,29.99
2026-08-14,Rosetta_mouth,28.51
2026-08-14,Tel_Aviv_IL,29.58
2026-08-15,Ashdod_IL,29.77
2026-08-15,Ashkelon_IL,29.58
2026-08-15,Bardawil_off,29.86
2026-08-15,Damietta_mouth,29.68
2026-08-15,El_Arish_EG,29.79
2026-08-15,Gaza_City,29.88
2026-08-15,Hadera_IL,29.77
2026-08-15,Haifa_IL,29.4
2026-08-15,Nahariya_IL,29.28
2026-08-15,Open_sea_ref,28.97
2026-08-15,Port_Said_EG,29.78
2026-08-15,Rafah_Gaza,30.17
2026-08-15,Rosetta_mouth,28.05
2026-08-15,Tel_Aviv_IL,29.62
2026-08-16,Ashdod_IL,29.95
2026-08-16,Ashkelon_IL,30.07
2026-08-16,Bardawil_off,29.98
2026-08-16,Damietta_mouth,29.41
2026-08-16,El_Arish_EG,30.63
2026-08-16,Gaza_City,30.33
2026-08-16,Hadera_IL,30.06
2026-08-16,Haifa_IL,29.65
2026-08-16,Nahariya_IL,29.75
2026-08-16,Open_sea_ref,28.59
2026-08-16,Port_Said_EG,30.0
2026-08-16,Rafah_Gaza,30.59
2026-08-16,Rosetta_mouth,28.93
2026-08-16,Tel_Aviv_IL,29.68
2026-08-17,Ashdod_IL,30.19
2026-08-17,Ashkelon_IL,30.4
2026-08-17,Bardawil_off,30.59
2026-08-17,Damietta_mouth,30.0
2026-08-17,El_Arish_EG,30.66
2026-08-17,Gaza_City,30.3
2026-08-17,Hadera_IL,30.14
2026-08-17,Haifa_IL,29.78
2026-08-17,Nahariya_IL,29.49
2026-08-17,Open_sea_ref,29.02
2026-08-17,Port_Said_EG,30.28
2026-08-17,Rafah_Gaza,30.47
2026-08-17,Rosetta_mouth,28.93
2026-08-17,Tel_Aviv_IL,29.99
2026-08-18,Ashdod_IL,30.33
2026-08-18,Ashkelon_IL,30.43
2026-08-18,Bardawil_off,30.36
2026-08-18,Damietta_mouth,29.76
2026-08-18,El_Arish_EG,30.61
2026-08-18,Gaza_City,30.46
2026-08-18,Hadera_IL,29.89
2026-08-18,Haifa_IL,30.05
2026-08-18,Nahariya_IL,29.95
2026-08-18,Open_sea_ref,28.84
2026-08-18,Port_Said_EG,29.98
2026-08-18,Rafah_Gaza,30.16
2026-08-18,Rosetta_mouth,28.8
2026-08-18,Tel_Aviv_IL,30.11
2026-08-19,Ashdod_IL,30.19
2026-08-19,Ashkelon_IL,30.19
2026-08-19,Bardawil_off,30.23
2026-08-19,Damietta_mouth,29.45
2026-08-19,El_Arish_EG,30.55
2026-08-19,Gaza_City,30.34
2026-08-19,Hadera_IL,29.66
2026-08-19,Haifa_IL,29.86
2026-08-19,Nahariya_IL,29.42
2026-08-19,Open_sea_ref,28.77
2026-08-19,Port_Said_EG,29.98
2026-08-19,Rafah_Gaza,30.22
2026-08-19,Rosetta_mouth,28.56
2026-08-19,Tel_Aviv_IL,29.67
2026-08-20,Ashdod_IL,30.24
2026-08-20,Ashkelon_IL,30.46
2026-08-20,Bardawil_off,29.5
2026-08-20,Damietta_mouth,29.5
2026-08-20,El_Arish_EG,30.39
2026-08-20,Gaza_City,30.47
2026-08-20,Hadera_IL,29.66
2026-08-20,Haifa_IL,29.35
2026-08-20,Nahariya_IL,29.64
2026-08-20,Open_sea_ref,28.77
2026-08-20,Port_Said_EG,29.5
2026-08-20,Rafah_Gaza,30.46
2026-08-20,Rosetta_mouth,29.04
2026-08-20,Tel_Aviv_IL,29.96
