date,sst
2008-01-01,18.64
2008-01-02,18.55
2008-01-03,18.74
2008-01-04,19.26
2008-01-05,18.71
2008-01-06,18.38
2008-01-07,17.82
2008-01-08,17.73
2008-01-09,18.01
2008-01-10,18.37
2008-01-11,18.29
2008-01-12,18.69
2008-01-13,18.28
2008-01-14,18.14
2008-01-15,17.79
2008-01-16,18.13
2008-01-17,17.75
2008-01-18,18.08
2008-01-19,18.09
2008-01-20,17.92
2008-01-21,17.63
2008-01-22,17.48
2008-01-23,16.87
2008-01-24,16.66
2008-01-25,17.14
2008-01-26,17.42
2008-01-27,17.08
2008-01-28,16.72
2008-01-29,16.76
2008-01-30,16.44
2008-01-31,15.91
2008-02-01,15.54
2008-02-02,15.43
2008-02-03,16.48
2008-02-04,16.25
2008-02-05,17.07
2008-02-06,17.19
2008-02-07,17.16
2008-02-08,17.18
2008-02-09,17.31
2008-02-10,17.23
2008-02-11,17.11
2008-02-12,16.8
2008-02-13,16.23
2008-02-14,15.91
2008-02-15,15.76
2008-02-16,15.34
2008-02-17,16.42
2008-02-18,16.41
2008-02-19,16.48
2008-02-20,16.28
2008-02-21,16.14
2008-02-22,15.63
2008-02-23,15.88
2008-02-24,16.2
2008-02-25,15.79
2008-02-26,15.56
2008-02-27,15.32
2008-02-28,15.45
2008-02-29,15.97
2008-03-01,16.39
2008-03-02,16.32
2008-03-03,16.43
2008-03-04,16.54
2008-03-05,16.39
2008-03-06,16.97
2008-03-07,17.14
2008-03-08,17.03
2008-03-09,16.05
2008-03-10,15.94
2008-03-11,16.77
2008-03-12,17.36
2008-03-13,17.76
2008-03-14,17.78
2008-03-15,18.03
2008-03-16,17.95
2008-03-17,18.09
2008-03-18,17.21
2008-03-19,17.86
2008-03-20,17.85
2008-03-21,18.51
2008-03-22,19.77
2008-03-23,20.1
2008-03-24,20.81
2008-03-25,20.76
2008-03-26,18.92
2008-03-27,19.12
2008-03-28,19.43
2008-03-29,19.28
2008-03-30,18.62
2008-03-31,18.96
2008-04-01,19.49
2008-04-02,19.62
2008-04-03,19.95
2008-04-04,19.35
2008-04-05,19.34
2008-04-06,19.04
2008-04-07,19.26
2008-04-08,19.18
2008-04-09,19.11
2008-04-10,18.85
2008-04-11,19.82
2008-04-12,19.49
2008-04-13,19.06
2008-04-14,19.66
2008-04-15,20.64
2008-04-16,20.18
2008-04-17,19.99
2008-04-18,20.06
2008-04-19,20.13
2008-04-20,21.28
2008-04-21,21.24
2008-04-22,21.2
2008-04-23,22.05
2008-04-24,22.15
2008-04-25,20.47
2008-04-26,20.74
2008-04-27,20.9
2008-04-28,21.14
2008-04-29,21.03
2008-04-30,21.4
2008-05-01,21.6
2008-05-02,21.98
2008-05-03,22.66
2008-05-04,22.67
2008-05-05,21.69
2008-05-06,22.4
2008-05-07,21.87
2008-05-08,22.65
2008-05-09,22.25
2008-05-10,22.68
2008-05-11,22.26
2008-05-12,22.17
2008-05-13,23.0
2008-05-14,22.39
2008-05-15,22.93
2008-05-16,22.39
2008-05-17,23.01
2008-05-18,22.04
2008-05-19,23.45
2008-05-20,23.33
