date,sst
2008-01-01,19.13
2008-01-02,19.08
2008-01-03,19.48
2008-01-04,19.36
2008-01-05,19.44
2008-01-06,19.18
2008-01-07,18.51
2008-01-08,18.91
2008-01-09,19.06
2008-01-10,19.05
2008-01-11,18.71
2008-01-12,18.4
2008-01-13,18.37
2008-01-14,18.52
2008-01-15,18.49
2008-01-16,18.64
2008-01-17,18.23
2008-01-18,18.37
2008-01-19,18.25
2008-01-20,18.33
2008-01-21,18.27
2008-01-22,17.96
2008-01-23,17.93
2008-01-24,17.92
2008-01-25,17.76
2008-01-26,17.81
2008-01-27,17.86
2008-01-28,17.87
2008-01-29,17.93
2008-01-30,17.8
2008-01-31,17.19
2008-02-01,17.06
2008-02-02,17.05
2008-02-03,17.25
2008-02-04,17.4
2008-02-05,17.39
2008-02-06,17.56
2008-02-07,17.67
2008-02-08,17.48
2008-02-09,17.49
2008-02-10,17.33
2008-02-11,17.42
2008-02-12,16.9
2008-02-13,17.13
2008-02-14,17.19
2008-02-15,17.18
2008-02-16,17.19
2008-02-17,17.26
2008-02-18,17.29
2008-02-19,17.18
2008-02-20,17.17
2008-02-21,17.03
2008-02-22,17.17
2008-02-23,17.06
2008-02-24,17.16
2008-02-25,17.02
2008-02-26,16.56
2008-02-27,16.62
2008-02-28,17.01
2008-02-29,16.97
2008-03-01,16.68
2008-03-02,16.81
2008-03-03,17.2
2008-03-04,17.39
2008-03-05,17.54
2008-03-06,17.8
2008-03-07,17.76
2008-03-08,17.29
2008-03-09,16.23
2008-03-10,16.19
2008-03-11,17.37
2008-03-12,18.02
2008-03-13,17.78
2008-03-14,17.88
2008-03-15,17.9
2008-03-16,18.49
2008-03-17,18.28
2008-03-18,17.2
2008-03-19,18.24
2008-03-20,18.54
2008-03-21,18.67
2008-03-22,19.77
2008-03-23,19.42
2008-03-24,20.25
2008-03-25,19.46
2008-03-26,18.83
2008-03-27,18.62
2008-03-28,18.93
2008-03-29,18.85
2008-03-30,18.51
2008-03-31,18.54
2008-04-01,18.69
2008-04-02,19.13
2008-04-03,19.84
2008-04-04,19.36
2008-04-05,18.98
2008-04-06,18.67
2008-04-07,18.89
2008-04-08,19.55
2008-04-09,19.01
2008-04-10,18.87
2008-04-11,19.57
2008-04-12,19.42
2008-04-13,19.34
2008-04-14,19.33
2008-04-15,19.67
2008-04-16,19.64
2008-04-17,19.6
2008-04-18,19.86
2008-04-19,20.46
2008-04-20,21.2
2008-04-21,20.97
2008-04-22,20.23
2008-04-23,21.18
2008-04-24,21.28
2008-04-25,20.64
2008-04-26,20.18
2008-04-27,20.24
2008-04-28,20.43
2008-04-29,21.65
2008-04-30,21.23
2008-05-01,21.77
2008-05-02,21.06
2008-05-03,22.09
2008-05-04,21.95
2008-05-05,21.65
2008-05-06,21.14
2008-05-07,21.1
2008-05-08,21.67
2008-05-09,21.35
2008-05-10,21.49
2008-05-11,21.69
2008-05-12,21.78
2008-05-13,22.55
2008-05-14,21.7
2008-05-15,22.14
