date,sst
2008-01-01,19.75
2008-01-02,19.63
2008-01-03,19.85
2008-01-04,19.52
2008-01-05,19.69
2008-01-06,19.75
2008-01-07,19.63
2008-01-08,19.32
2008-01-09,19.49
2008-01-10,19.35
2008-01-11,19.19
2008-01-12,19.16
2008-01-13,19.08
2008-01-14,18.96
2008-01-15,18.62
2008-01-16,18.58
2008-01-17,18.67
2008-01-18,18.51
2008-01-19,18.3
2008-01-20,17.94
2008-01-21,18.06
2008-01-22,18.07
2008-01-23,18.12
2008-01-24,17.96
2008-01-25,17.67
2008-01-26,17.79
2008-01-27,17.8
2008-01-28,17.96
2008-01-29,17.93
2008-01-30,17.67
2008-01-31,17.6
2008-02-01,17.49
2008-02-02,17.58
2008-02-03,17.75
2008-02-04,17.71
2008-02-05,17.84
2008-02-06,17.59
2008-02-07,17.38
2008-02-08,17.29
2008-02-09,17.59
2008-02-10,17.28
2008-02-11,17.36
2008-02-12,17.41
2008-02-13,17.62
2008-02-14,17.5
2008-02-15,17.26
2008-02-16,17.39
2008-02-17,17.15
2008-02-18,17.08
2008-02-19,17.05
2008-02-20,17.14
2008-02-21,17.02
2008-02-22,17.12
2008-02-23,16.9
2008-02-24,17.0
2008-02-25,16.9
2008-02-26,16.81
2008-02-27,16.98
2008-02-28,17.05
2008-02-29,17.13
2008-03-01,17.06
2008-03-02,17.16
2008-03-03,17.25
2008-03-04,16.78
2008-03-05,17.49
2008-03-06,17.6
2008-03-07,17.67
2008-03-08,17.46
2008-03-09,16.61
2008-03-10,16.42
2008-03-11,17.43
2008-03-12,17.74
2008-03-13,17.47
2008-03-14,17.73
2008-03-15,17.61
2008-03-16,17.84
2008-03-17,17.67
2008-03-18,16.75
2008-03-19,17.27
2008-03-20,17.59
2008-03-21,18.31
2008-03-22,19.24
2008-03-23,18.68
2008-03-24,20.09
2008-03-25,19.33
2008-03-26,18.65
2008-03-27,18.13
2008-03-28,18.18
2008-03-29,18.16
2008-03-30,17.77
2008-03-31,18.14
2008-04-01,18.2
2008-04-02,18.26
2008-04-03,19.15
2008-04-04,18.79
2008-04-05,18.01
2008-04-06,18.28
2008-04-07,18.52
2008-04-08,18.66
2008-04-09,18.55
2008-04-10,18.23
2008-04-11,18.8
2008-04-12,18.82
2008-04-13,18.94
2008-04-14,19.28
2008-04-15,20.21
2008-04-16,20.0
2008-04-17,18.95
2008-04-18,19.51
2008-04-19,19.88
2008-04-20,20.5
2008-04-21,20.21
2008-04-22,20.06
2008-04-23,20.67
2008-04-24,20.74
2008-04-25,20.72
2008-04-26,20.17
2008-04-27,19.77
2008-04-28,20.39
2008-04-29,20.91
2008-04-30,20.78
2008-05-01,20.79
2008-05-02,19.8
2008-05-03,20.34
2008-05-04,20.62
2008-05-05,20.65
2008-05-06,20.33
2008-05-07,20.56
2008-05-08,20.79
2008-05-09,20.57
2008-05-10,20.88
2008-05-11,20.79
2008-05-12,20.83
2008-05-13,21.6
2008-05-14,21.14
2008-05-15,21.47
2008-05-16,20.68
2008-05-17,21.31
2008-05-18,20.56
2008-05-19,20.89
2008-05-20,21.55
2008-05-21,21.4
2008-05-22,21.92
2008-05-23,22.25
2008-05-24,22.25
2008-05-25,21.78
2008-05-26,22.19
2008-05-27,22.1
2008-05-28,23.23
2008-05-29,23.71
2008-05-30,24.13
2008-05-31,23.94
2008-06-01,24.04
2008-06-02,24.54
2008-06-03,24.22
2008-06-04,24.0
2008-06-05,24.58
2008-06-06,25.5
2008-06-07,25.14
2008-06-08,24.96
2008-06-09,25.25
2008-06-10,25.55
2008-06-11,24.84
2008-06-12,24.08
2008-06-13,25.45
2008-06-14,25.56
2008-06-15,25.49
2008-06-16,26.05
2008-06-17,25.12
2008-06-18,26.07
2008-06-19,26.3
2008-06-20,26.9
2008-06-21,25.78
2008-06-22,26.42
2008-06-23,26.68
2008-06-24,27.35
2008-06-25,27.32
2008-06-26,27.21
2008-06-27,26.47
2008-06-28,26.82
2008-06-29,27.27
2008-06-30,27.26
2008-07-01,26.89
2008-07-02,26.96
2008-07-03,26.98
2008-07-04,27.98
2008-07-05,27.06
2008-07-06,27.29
2008-07-07,28.35
2008-07-08,28.18
2008-07-09,28.05
2008-07-10,28.03
2008-07-11,29.08
2008-07-12,28.0
2008-07-13,28.24
2008-07-14,28.47
2008-07-15,28.97
2008-07-16,28.19
2008-07-17,28.1
2008-07-18,28.48
2008-07-19,28.63
2008-07-20,28.49
2008-07-21,29.08
2008-07-22,29.09
2008-07-23,28.92
2008-07-24,28.9
2008-07-25,28.45
2008-07-26,28.18
2008-07-27,28.55
2008-07-28,28.13
2008-07-29,28.37
2008-07-30,27.9
2008-07-31,28.57
2008-08-01,28.69
2008-08-02,28.42
2008-08-03,29.2
2008-08-04,28.22
2008-08-05,28.48
2008-08-06,27.74
2008-08-07,28.29
2008-08-08,28.76
2008-08-09,27.71
2008-08-10,28.21
2008-08-11,28.54
2008-08-12,28.67
2008-08-13,28.52
2008-08-14,29.41
2008-08-15,27.98
2008-08-16,28.06
2008-08-17,28.57
2008-08-18,28.99
2008-08-19,28.58
2008-08-20,28.6
2008-08-21,28.81
2008-08-22,28.36
2008-08-23,28.07
2008-08-24,27.83
2008-08-25,27.76
2008-08-26,28.21
2008-08-27,28.86
2008-08-28,29.08
2008-08-29,29.21
2008-08-30,29.24
2008-08-31,28.53
2008-09-01,28.71
2008-09-02,28.61
2008-09-03,28.54
2008-09-04,28.8
2008-09-05,27.89
2008-09-06,28.35
2008-09-07,27.39
2008-09-08,28.46
2008-09-09,28.12
2008-09-10,28.02
2008-09-11,28.15
2008-09-12,28.96
2008-09-13,28.88
2008-09-14,28.1
2008-09-15,28.15
2008-09-16,28.25
2008-09-17,28.62
2008-09-18,28.75
2008-09-19,28.59
2008-09-20,28.1
2008-09-21,28.15
2008-09-22,28.17
2008-09-23,28.23
2008-09-24,28.04
2008-09-25,27.86
2008-09-26,27.38
2008-09-27,27.65
2008-09-28,27.03
2008-09-29,27.62
2008-09-30,27.83
2008-10-01,27.6
2008-10-02,27.37
2008-10-03,27.56
2008-10-04,27.37
2008-10-05,27.1
2008-10-06,27.32
2008-10-07,27.11
2008-10-08,26.86
2008-10-09,26.87
2008-10-10,26.89
2008-10-11,26.62
2008-10-12,26.63
2008-10-13,26.61
2008-10-14,26.07
2008-10-15,26.38
2008-10-16,26.53
2008-10-17,26.28
2008-10-18,26.31
2008-10-19,25.85
2008-10-20,25.73
2008-10-21,25.9
2008-10-22,25.86
2008-10-23,26.05
2008-10-24,25.78
2008-10-25,25.45
2008-10-26,25.6
2008-10-27,25.68
2008-10-28,25.37
2008-10-29,25.42
2008-10-30,25.26
2008-10-31,25.11
2008-11-01,25.0
2008-11-02,25.23
2008-11-03,25.11
2008-11-04,24.99
2008-11-05,24.87
2008-11-06,24.69
2008-11-07,24.44
2008-11-08,24.38
2008-11-09,23.69
2008-11-10,23.87
2008-11-11,23.55
2008-11-12,23.54
2008-11-13,23.42
2008-11-14,23.34
2008-11-15,23.35
2008-11-16,23.49
2008-11-17,23.34
2008-11-18,23.08
2008-11-19,23.06
2008-11-20,22.95
2008-11-21,23.08
2008-11-22,22.9
2008-11-23,22.82
2008-11-24,21.7
2008-11-25,22.64
2008-11-26,23.07
2008-11-27,22.59
2008-11-28,22.51
2008-11-29,22.24
2008-11-30,22.39
2008-12-01,22.58
2008-12-02,22.81
2008-12-03,22.54
2008-12-04,22.56
2008-12-05,22.41
2008-12-06,22.32
2008-12-07,21.94
2008-12-08,21.04
2008-12-09,21.81
