date,sst
2008-01-01,19.25
2008-01-02,19.22
2008-01-03,19.6
2008-01-04,19.68
2008-01-05,19.54
2008-01-06,19.58
2008-01-07,19.23
2008-01-08,19.5
2008-01-09,19.49
2008-01-10,19.34
2008-01-11,19.08
2008-01-12,19.01
2008-01-13,18.95
2008-01-14,18.86
2008-01-15,18.64
2008-01-16,18.44
2008-01-17,19.13
2008-01-18,18.4
2008-01-19,18.29
2008-01-20,18.2
2008-01-21,18.21
2008-01-22,18.24
2008-01-23,18.09
2008-01-24,18.19
2008-01-25,18.03
2008-01-26,18.12
2008-01-27,18.13
2008-01-28,18.26
2008-01-29,18.28
2008-01-30,18.01
2008-01-31,17.41
2008-02-01,17.38
2008-02-02,17.62
2008-02-03,17.94
2008-02-04,17.86
2008-02-05,17.74
2008-02-06,17.91
2008-02-07,17.86
2008-02-08,17.47
2008-02-09,17.72
2008-02-10,17.31
2008-02-11,17.52
2008-02-12,17.37
2008-02-13,17.44
2008-02-14,17.34
2008-02-15,17.27
2008-02-16,17.29
2008-02-17,17.26
2008-02-18,17.16
2008-02-19,17.14
2008-02-20,17.13
2008-02-21,17.16
2008-02-22,17.3
2008-02-23,17.03
2008-02-24,17.12
2008-02-25,16.74
2008-02-26,16.55
2008-02-27,17.12
2008-02-28,17.11
2008-02-29,17.13
2008-03-01,17.09
2008-03-02,17.12
2008-03-03,17.24
2008-03-04,17.16
2008-03-05,17.44
2008-03-06,17.37
2008-03-07,17.51
2008-03-08,17.25
2008-03-09,16.65
2008-03-10,16.64
2008-03-11,17.6
2008-03-12,17.72
2008-03-13,17.49
2008-03-14,17.54
2008-03-15,17.37
2008-03-16,17.75
2008-03-17,17.76
2008-03-18,16.83
2008-03-19,17.72
2008-03-20,17.81
2008-03-21,17.88
2008-03-22,18.66
2008-03-23,18.25
2008-03-24,19.25
2008-03-25,18.84
2008-03-26,18.03
2008-03-27,17.94
2008-03-28,18.17
2008-03-29,18.13
2008-03-30,17.88
2008-03-31,17.9
2008-04-01,18.07
2008-04-02,18.01
2008-04-03,18.5
2008-04-04,18.16
2008-04-05,18.02
2008-04-06,17.93
2008-04-07,18.14
2008-04-08,18.14
2008-04-09,18.23
2008-04-10,17.93
2008-04-11,18.44
2008-04-12,18.33
2008-04-13,18.53
2008-04-14,18.79
2008-04-15,19.14
2008-04-16,18.81
2008-04-17,18.32
2008-04-18,18.7
2008-04-19,18.57
2008-04-20,19.11
2008-04-21,19.38
2008-04-22,19.54
2008-04-23,20.98
2008-04-24,20.74
2008-04-25,19.92
2008-04-26,19.68
2008-04-27,19.89
2008-04-28,19.52
2008-04-29,20.0
2008-04-30,20.11
2008-05-01,19.96
2008-05-02,19.91
2008-05-03,20.4
2008-05-04,20.53
2008-05-05,20.52
2008-05-06,20.39
2008-05-07,19.95
2008-05-08,20.68
2008-05-09,20.34
2008-05-10,20.04
2008-05-11,20.12
2008-05-12,20.35
2008-05-13,20.98
2008-05-14,20.85
2008-05-15,21.14
2008-05-16,20.64
2008-05-17,20.79
2008-05-18,20.41
2008-05-19,21.14
2008-05-20,21.28
2008-05-21,21.83
2008-05-22,22.24
2008-05-23,22.02
2008-05-24,22.44
2008-05-25,22.07
2008-05-26,22.65
2008-05-27,22.7
2008-05-28,22.89
2008-05-29,22.83
2008-05-30,23.27
2008-05-31,23.73
2008-06-01,23.6
2008-06-02,24.17
2008-06-03,24.22
2008-06-04,23.83
2008-06-05,24.3
2008-06-06,24.11
2008-06-07,24.39
2008-06-08,24.23
2008-06-09,24.78
2008-06-10,24.84
2008-06-11,24.28
2008-06-12,24.16
2008-06-13,24.72
2008-06-14,24.38
2008-06-15,24.41
2008-06-16,25.13
2008-06-17,24.67
2008-06-18,25.07
2008-06-19,25.37
2008-06-20,26.05
2008-06-21,25.84
2008-06-22,26.19
2008-06-23,25.77
2008-06-24,26.25
2008-06-25,26.46
2008-06-26,26.67
2008-06-27,25.82
2008-06-28,26.54
2008-06-29,26.64
2008-06-30,26.16
2008-07-01,26.53
2008-07-02,26.89
2008-07-03,27.12
2008-07-04,27.2
2008-07-05,27.21
2008-07-06,27.16
2008-07-07,27.42
2008-07-08,27.88
2008-07-09,27.6
2008-07-10,27.57
2008-07-11,28.24
2008-07-12,27.95
2008-07-13,27.64
2008-07-14,27.74
2008-07-15,28.3
2008-07-16,28.02
2008-07-17,28.59
2008-07-18,28.44
2008-07-19,27.89
2008-07-20,28.31
2008-07-21,28.35
2008-07-22,27.83
2008-07-23,28.07
2008-07-24,28.42
2008-07-25,28.16
2008-07-26,28.05
2008-07-27,27.78
2008-07-28,27.36
2008-07-29,27.48
2008-07-30,27.02
2008-07-31,27.65
2008-08-01,27.75
2008-08-02,28.42
2008-08-03,28.25
2008-08-04,28.21
2008-08-05,28.22
2008-08-06,27.56
2008-08-07,27.57
