date,sst
2008-01-01,17.95
2008-01-02,17.64
2008-01-03,17.3
2008-01-04,17.15
2008-01-05,16.81
2008-01-06,16.72
2008-01-07,17.04
2008-01-08,17.13
2008-01-09,17.47
2008-01-10,17.4
2008-01-11,16.92
2008-01-12,16.26
2008-01-13,16.88
2008-01-14,17.2
2008-01-15,16.92
2008-01-16,17.16
2008-01-17,16.8
2008-01-18,17.05
2008-01-19,16.91
2008-01-20,16.89
2008-01-21,16.77
2008-01-22,16.64
2008-01-23,16.17
2008-01-24,16.09
2008-01-25,16.3
2008-01-26,16.31
2008-01-27,16.37
2008-01-28,16.16
2008-01-29,16.34
2008-01-30,16.11
2008-01-31,15.83
2008-02-01,15.64
2008-02-02,15.51
2008-02-03,15.65
2008-02-04,15.63
2008-02-05,15.26
2008-02-06,15.62
2008-02-07,15.42
2008-02-08,16.0
2008-02-09,15.91
2008-02-10,16.34
2008-02-11,16.05
2008-02-12,15.82
2008-02-13,15.86
2008-02-14,15.96
2008-02-15,16.18
2008-02-16,16.05
2008-02-17,15.54
2008-02-18,15.86
2008-02-19,16.07
2008-02-20,15.45
2008-02-21,15.17
2008-02-22,14.91
2008-02-23,15.03
2008-02-24,15.3
2008-02-25,15.21
2008-02-26,15.12
2008-02-27,15.1
2008-02-28,15.71
2008-02-29,15.93
2008-03-01,16.15
2008-03-02,16.17
2008-03-03,16.58
2008-03-04,16.89
2008-03-05,16.82
2008-03-06,16.97
2008-03-07,17.05
2008-03-08,16.91
2008-03-09,16.25
2008-03-10,16.32
2008-03-11,17.7
2008-03-12,18.19
2008-03-13,17.86
2008-03-14,18.08
2008-03-15,18.02
2008-03-16,18.23
2008-03-17,18.12
2008-03-18,17.52
2008-03-19,18.59
2008-03-20,18.38
2008-03-21,19.2
2008-03-22,20.25
2008-03-23,20.13
2008-03-24,21.05
2008-03-25,21.01
2008-03-26,19.3
2008-03-27,19.23
2008-03-28,19.75
2008-03-29,19.32
2008-03-30,18.76
