date,sst
2008-01-01,18.36
2008-01-02,17.78
2008-01-03,18.13
2008-01-04,18.0
2008-01-05,18.13
2008-01-06,18.4
2008-01-07,18.11
2008-01-08,18.73
2008-01-09,18.51
2008-01-10,18.38
2008-01-11,18.43
2008-01-12,18.06
2008-01-13,17.48
2008-01-14,18.05
2008-01-15,17.26
2008-01-16,17.92
2008-01-17,18.53
2008-01-18,17.99
2008-01-19,17.71
2008-01-20,17.28
2008-01-21,17.52
2008-01-22,17.39
2008-01-23,17.18
2008-01-24,17.33
2008-01-25,17.57
2008-01-26,17.23
2008-01-27,17.25
2008-01-28,17.16
2008-01-29,16.64
2008-01-30,16.79
2008-01-31,17.0
2008-02-01,17.01
2008-02-02,17.32
2008-02-03,17.32
2008-02-04,17.12
2008-02-05,16.8
2008-02-06,16.6
2008-02-07,16.73
2008-02-08,16.96
2008-02-09,16.91
2008-02-10,16.94
2008-02-11,17.14
2008-02-12,17.14
2008-02-13,16.92
2008-02-14,17.01
2008-02-15,16.88
2008-02-16,16.33
2008-02-17,16.4
2008-02-18,16.51
2008-02-19,16.43
2008-02-20,16.69
2008-02-21,16.37
2008-02-22,16.37
2008-02-23,16.46
2008-02-24,16.51
2008-02-25,16.79
2008-02-26,16.03
2008-02-27,16.0
2008-02-28,16.43
2008-02-29,16.4
2008-03-01,16.51
2008-03-02,16.33
2008-03-03,16.76
2008-03-04,17.31
2008-03-05,17.66
2008-03-06,17.44
2008-03-07,17.17
2008-03-08,16.87
2008-03-09,16.65
2008-03-10,16.6
2008-03-11,17.02
2008-03-12,17.1
2008-03-13,17.42
2008-03-14,17.56
2008-03-15,17.85
2008-03-16,18.0
2008-03-17,17.95
2008-03-18,18.02
2008-03-19,18.63
2008-03-20,18.52
2008-03-21,19.17
2008-03-22,18.77
2008-03-23,19.31
2008-03-24,20.19
2008-03-25,19.69
2008-03-26,18.53
2008-03-27,18.4
2008-03-28,18.71
2008-03-29,18.31
2008-03-30,18.49
2008-03-31,18.43
2008-04-01,18.28
2008-04-02,18.68
2008-04-03,18.73
2008-04-04,18.66
2008-04-05,18.21
2008-04-06,18.25
2008-04-07,18.76
2008-04-08,18.6
2008-04-09,18.46
2008-04-10,17.87
2008-04-11,18.02
2008-04-12,18.93
2008-04-13,19.25
2008-04-14,19.57
2008-04-15,20.16
2008-04-16,19.67
2008-04-17,19.65
2008-04-18,19.67
2008-04-19,19.84
2008-04-20,19.88
2008-04-21,20.4
2008-04-22,20.9
2008-04-23,21.76
2008-04-24,20.93
2008-04-25,20.44
2008-04-26,20.26
2008-04-27,20.79
2008-04-28,20.41
2008-04-29,20.84
2008-04-30,20.75
2008-05-01,21.06
2008-05-02,21.51
2008-05-03,21.77
2008-05-04,21.48
2008-05-05,21.21
2008-05-06,21.73
2008-05-07,20.8
2008-05-08,21.94
2008-05-09,21.48
2008-05-10,20.62
2008-05-11,21.25
2008-05-12,21.3
2008-05-13,21.96
2008-05-14,20.87
2008-05-15,22.45
2008-05-16,22.04
2008-05-17,22.25
2008-05-18,22.09
2008-05-19,22.33
2008-05-20,21.79
2008-05-21,22.09
2008-05-22,22.31
2008-05-23,22.39
2008-05-24,22.92
2008-05-25,23.19
2008-05-26,23.22
2008-05-27,22.29
2008-05-28,23.67
2008-05-29,23.59
2008-05-30,23.83
2008-05-31,24.27
2008-06-01,24.04
2008-06-02,24.63
2008-06-03,24.99
2008-06-04,24.87
2008-06-05,25.35
2008-06-06,24.99
2008-06-07,25.3
2008-06-08,24.36
2008-06-09,24.61
2008-06-10,25.61
2008-06-11,25.23
2008-06-12,24.85
2008-06-13,25.1
2008-06-14,25.26
2008-06-15,25.35
2008-06-16,25.43
