Station,Measure,Cycle,Month,Value
AFEQ,MaxTemp,1999-2000,1,16.7
AFEQ,MaxTemp,1999-2000,2,20.4
AFEQ,MaxTemp,2000-2001,1,21.5
AFEQ,MaxTemp,2000-2001,2,24.2
AFEQ,MaxTemp,2000-2001,3,22.2
AFEQ,MaxTemp,2000-2001,4,33.5
AFEQ,MaxTemp,2000-2001,5,31.6
AFEQ,MaxTemp,2000-2001,6,32.4
AFEQ,MaxTemp,2000-2001,7,34.7
AFEQ,MaxTemp,2000-2001,8,31.8
AFEQ,MaxTemp,2000-2001,9,28.7
AFEQ,MaxTemp,2000-2001,10,37.2
AFEQ,MaxTemp,2000-2001,11,28.5
AFEQ,MaxTemp,2000-2001,12,20.3
AFEQ,MaxTemp,2001-2002,3,25.0
AFEQ,MaxTemp,2001-2002,4,33.8
AFEQ,MaxTemp,2001-2002,5,38.4
AFEQ,MaxTemp,2001-2002,6,34.0
AFEQ,MaxTemp,2001-2002,7,31.2
AFEQ,MaxTemp,2001-2002,9,30.7
AFEQ,MaxTemp,2001-2002,10,35.9
AFEQ,MaxTemp,2001-2002,11,28.6
AFEQ,MaxTemp,2001-2002,12,23.3
AFEQ,MaxTemp,2002-2003,1,24.6
AFEQ,MaxTemp,2002-2003,2,21.4
AFEQ,MaxTemp,2003-2004,1,19.1
AFEQ,MaxTemp,2003-2004,2,28.0
AFEQ,MaxTemp,2003-2004,3,24.9
AFEQ,MaxTemp,2003-2004,4,34.9
AFEQ,MaxTemp,2003-2004,5,39.9
AFEQ,MaxTemp,2003-2004,6,32.0
AFEQ,MaxTemp,2003-2004,7,34.1
AFEQ,MaxTemp,2003-2004,8,33.8
AFEQ,MaxTemp,2003-2004,9,32.0
AFEQ,MaxTemp,2003-2004,10,33.8
AFEQ,MaxTemp,2003-2004,11,32.5
AFEQ,MaxTemp,2003-2004,12,22.4
AFEQ,MaxTemp,2004-2005,1,22.6
AFEQ,MaxTemp,2004-2005,2,25.1
AFEQ,MaxTemp,2004-2005,3,32.2
AFEQ,MaxTemp,2004-2005,4,34.6
AFEQ,MaxTemp,2004-2005,5,37.5
AFEQ,MaxTemp,2004-2005,6,31.8
AFEQ,MaxTemp,2004-2005,7,33.9
AFEQ,MaxTemp,2004-2005,8,33.2
